Entrez_ID	Main Class	Classification
3061.0	Receptors	GPCR;Rhodopsin
3062.0	Receptors	GPCR;Rhodopsin
3269.0	Receptors	GPCR;Rhodopsin
3274.0	Receptors	GPCR;Rhodopsin
11255.0	Receptors	GPCR;Rhodopsin
59340.0	Receptors	GPCR;Rhodopsin
3350.0	Receptors	GPCR;Rhodopsin
3351.0	Receptors	GPCR;Rhodopsin
3352.0	Receptors	GPCR;Rhodopsin
3354.0	Receptors	GPCR;Rhodopsin
3355.0	Receptors	GPCR;Rhodopsin
3356.0	Receptors	GPCR;Rhodopsin
3357.0	Receptors	GPCR;Rhodopsin
3358.0	Receptors	GPCR;Rhodopsin
3360.0	Receptors	GPCR;Rhodopsin
3361.0	Receptors	GPCR;Rhodopsin
3362.0	Receptors	GPCR;Rhodopsin
3363.0	Receptors	GPCR;Rhodopsin
3577.0	Receptors	GPCR;Rhodopsin
3579.0	Receptors	GPCR;Rhodopsin
84634.0	Receptors	GPCR;Rhodopsin
55366.0	Receptors	GPCR;Rhodopsin
59352.0	Receptors	GPCR;Rhodopsin
3973.0	Receptors	GPCR;Rhodopsin
1241.0	Receptors	GPCR;Rhodopsin
56413.0	Receptors	GPCR;Rhodopsin
4142.0	Receptors	GPCR;Rhodopsin
116511.0	Receptors	GPCR;Rhodopsin
4158.0	Receptors	GPCR;Rhodopsin
4159.0	Receptors	GPCR;Rhodopsin
4160.0	Receptors	GPCR;Rhodopsin
4161.0	Receptors	GPCR;Rhodopsin
2847.0	Receptors	GPCR;Rhodopsin
84539.0	Receptors	GPCR;Rhodopsin
2862.0	Receptors	GPCR;Rhodopsin
116512.0	Receptors	GPCR;Rhodopsin
116534.0	Receptors	GPCR;Rhodopsin
116535.0	Receptors	GPCR;Rhodopsin
386746.0	Receptors	GPCR;Rhodopsin
117194.0	Receptors	GPCR;Rhodopsin
117195.0	Receptors	GPCR;Rhodopsin
117196.0	Receptors	GPCR;Rhodopsin
4543.0	Receptors	GPCR;Rhodopsin
4544.0	Receptors	GPCR;Rhodopsin
4829.0	Receptors	GPCR;Rhodopsin
10316.0	Receptors	GPCR;Rhodopsin
56923.0	Receptors	GPCR;Rhodopsin
2831.0	Receptors	GPCR;Rhodopsin
2832.0	Receptors	GPCR;Rhodopsin
64106.0	Receptors	GPCR;Rhodopsin
10886.0	Receptors	GPCR;Rhodopsin
387129.0	Receptors	GPCR;Rhodopsin
